date,new_cases,new_deaths,cases_7d,deaths_7d,cases_7d_per_100k,naive_cfr,lagged_cfr_14
2023-12-06,0.0,0.0,900.786301369863,7.32054794520548,0.006356219213146401,0.0118505372817614,0.008034640365648304
2023-12-07,0.0,0.0,900.786301369863,7.32054794520548,0.006356219213146401,0.0118505372817614,0.008034640365648304
2023-12-08,0.0,0.0,900.786301369863,7.32054794520548,0.006356219213146401,0.0118505372817614,0.008034640365648304
2023-12-09,0.0,0.0,900.786301369863,7.32054794520548,0.006356219213146401,0.0118505372817614,0.008034640365648304
2023-12-10,876.0,6.0,903.186301369863,7.336986301369863,0.006373154335370566,0.011850439931244667,0.008048108333909343
2023-12-11,0.0,0.0,899.2684931506849,7.254794520547946,0.006345509101602808,0.011850439931244667,0.008019333620026528
2023-12-12,0.0,0.0,899.2684931506849,7.254794520547946,0.006345509101602808,0.011850439931244667,0.008019333620026528
2023-12-13,0.0,0.0,899.2684931506849,7.254794520547946,0.006345509101602808,0.011850439931244667,0.008019333620026528
2023-12-14,0.0,0.0,899.2684931506849,7.254794520547946,0.006345509101602808,0.011850439931244667,0.008019333620026528
2023-12-15,0.0,0.0,899.2684931506849,7.254794520547946,0.006345509101602808,0.011850439931244667,0.008019333620026528
2023-12-16,0.0,0.0,899.2684931506849,7.254794520547946,0.006345509101602808,0.011850439931244667,0.008019333620026528
2023-12-17,1761.0,10.0,904.0931506849315,7.282191780821917,0.006379553337032892,0.01185019843209669,0.008039513999582599
2023-12-18,0.0,0.0,900.9972602739726,7.243835616438356,0.006357707802656973,0.01185019843209669,0.008041680480067643
2023-12-19,0.0,0.0,900.9972602739726,7.243835616438356,0.006357707802656973,0.01185019843209669,0.008041680480067643
2023-12-20,0.0,0.0,900.9972602739726,7.243835616438356,0.006357707802656973,0.01185019843209669,0.008041680480067643
2023-12-21,0.0,0.0,900.9972602739726,7.243835616438356,0.006357707802656973,0.01185019843209669,0.008041680480067643
2023-12-22,0.0,0.0,900.9972602739726,7.243835616438356,0.006357707802656973,0.01185019843209669,0.008041680480067643
2023-12-23,0.0,0.0,900.9972602739726,7.243835616438356,0.006357707802656973,0.01185019843209669,0.008041680480067643
2023-12-24,3804.0,17.0,911.4191780821918,7.2904109589041095,0.0064312479909454665,0.011849574592600262,0.008071879464786767
2023-12-25,0.0,0.0,908.2575342465753,7.232876712328767,0.006408938480618199,0.011849574592600262,0.008043066967672355
2023-12-26,0.0,0.0,908.2575342465753,7.232876712328767,0.006408938480618199,0.011849574592600262,0.008043066967672355
2023-12-27,0.0,0.0,908.2575342465753,7.232876712328767,0.006408938480618199,0.011849574592600262,0.008043066967672355
2023-12-28,0.0,0.0,908.2575342465753,7.232876712328767,0.006408938480618199,0.011849574592600262,0.008043066967672355
2023-12-29,0.0,0.0,908.2575342465753,7.232876712328767,0.006408938480618199,0.011849574592600262,0.008043066967672355
2023-12-30,0.0,0.0,908.2575342465753,7.232876712328767,0.006408938480618199,0.011849574592600262,0.008043066967672355
2023-12-31,4552.0,28.0,920.7287671232876,7.30958904109589,0.006496939252723674,0.011848998333199003,0.00808499548476639
2024-01-01,0.0,0.0,916.5013698630137,7.276712328767124,0.006467109465518326,0.011848998333199003,0.008076286854140313
2024-01-02,0.0,0.0,916.5013698630137,7.276712328767124,0.006467109465518326,0.011848998333199003,0.008076286854140313
2024-01-03,0.0,0.0,916.5013698630137,7.276712328767124,0.006467109465518326,0.011848998333199003,0.008076286854140313
2024-01-04,0.0,0.0,916.5013698630137,7.276712328767124,0.006467109465518326,0.011848998333199003,0.008076286854140313
2024-01-05,0.0,0.0,916.5013698630137,7.276712328767124,0.006467109465518326,0.011848998333199003,0.008076286854140313
2024-01-06,0.0,0.0,916.5013698630137,7.276712328767124,0.006467109465518326,0.011848998333199003,0.008076286854140313
2024-01-07,4962.0,31.0,930.0958904109589,7.361643835616438,0.0065630364934593085,0.01184838092134161,0.008077121935383024
2024-01-08,0.0,0.0,926.6027397260274,7.32054794520548,0.006538387771044002,0.01184838092134161,0.008059991433242639
2024-01-09,0.0,0.0,926.6027397260274,7.32054794520548,0.006538387771044002,0.01184838092134161,0.008059991433242639
2024-01-10,0.0,0.0,926.6027397260274,7.32054794520548,0.006538387771044002,0.01184838092134161,0.008059991433242639
2024-01-11,0.0,0.0,926.6027397260274,7.32054794520548,0.006538387771044002,0.01184838092134161,0.008059991433242639
2024-01-12,0.0,0.0,926.6027397260274,7.32054794520548,0.006538387771044002,0.01184838092134161,0.008059991433242639
2024-01-13,0.0,0.0,926.6027397260274,7.32054794520548,0.006538387771044002,0.01184838092134161,0.008059991433242639
2024-01-14,3624.0,22.0,936.5315068493151,7.380821917808219,0.006608448139697394,0.01184791584548964,0.00801628251593437
2024-01-15,0.0,0.0,933.4739726027398,7.364383561643836,0.0065868732579597595,0.01184791584548964,0.008035321936010378
2024-01-16,0.0,0.0,933.4739726027398,7.364383561643836,0.0065868732579597595,0.01184791584548964,0.008035321936010378
2024-01-17,0.0,0.0,933.4739726027398,7.364383561643836,0.0065868732579597595,0.01184791584548964,0.008035321936010378
2024-01-18,0.0,0.0,933.4739726027398,7.364383561643836,0.0065868732579597595,0.01184791584548964,0.008035321936010378
2024-01-19,0.0,0.0,933.4739726027398,7.364383561643836,0.0065868732579597595,0.01184791584548964,0.008035321936010378
2024-01-20,0.0,0.0,933.4739726027398,7.364383561643836,0.0065868732579597595,0.01184791584548964,0.008035321936010378
2024-01-21,1993.0,20.0,938.9342465753425,7.419178082191781,0.006625402594252864,0.011847835601258544,0.007976788370620205
2024-01-22,0.0,0.0,936.5205479452055,7.4,0.006608370810372168,0.011847835601258544,0.007986162443452294
2024-01-23,0.0,0.0,936.5205479452055,7.4,0.006608370810372168,0.011847835601258544,0.007986162443452294
2024-01-24,0.0,0.0,936.5205479452055,7.4,0.006608370810372168,0.011847835601258544,0.007986162443452294
2024-01-25,0.0,0.0,936.5205479452055,7.4,0.006608370810372168,0.011847835601258544,0.007986162443452294
